Actors,Directors,Durations,Rating,Title,Urls,Year
"[u' Tim Robbins', u' Morgan Freeman']",Frank Darabont (dir.),"2h 22min
",9.2,The Shawshank Redemption,http://www.imdb.com/title/tt0111161/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=152NZEF9BHZHPX6W9DQH&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_1,(1994)
"[u' Marlon Brando', u' Al Pacino']",Francis Ford Coppola (dir.),"2h 55min
",9.2,The Godfather,http://www.imdb.com/title/tt0068646/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=152NZEF9BHZHPX6W9DQH&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_2,(1972)
"[u' Al Pacino', u' Robert De Niro']",Francis Ford Coppola (dir.),"3h 22min
",9.0,The Godfather: Part II,http://www.imdb.com/title/tt0071562/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=152NZEF9BHZHPX6W9DQH&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_3,(1974)
"[u' Christian Bale', u' Heath Ledger']",Christopher Nolan (dir.),"2h 32min
",9.0,The Dark Knight,http://www.imdb.com/title/tt0468569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=152NZEF9BHZHPX6W9DQH&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_4,(2008)
"[u' Henry Fonda', u' Lee J. Cobb']",Sidney Lumet (dir.),"1h 36min
",8.9,12 Angry Men,http://www.imdb.com/title/tt0050083/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=152NZEF9BHZHPX6W9DQH&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_5,(1957)
"[u' Liam Neeson', u' Ralph Fiennes']",Steven Spielberg (dir.),"3h 15min
",8.9,Schindler's List,http://www.imdb.com/title/tt0108052/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=152NZEF9BHZHPX6W9DQH&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_6,(1993)
"[u' Elijah Wood', u' Viggo Mortensen']",Peter Jackson (dir.),"3h 21min
",8.9,The Lord of the Rings: The Return of the King,http://www.imdb.com/title/tt0167260/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=152NZEF9BHZHPX6W9DQH&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_7,(2003)
"[u' John Travolta', u' Uma Thurman']",Quentin Tarantino (dir.),"2h 34min
",8.9,Pulp Fiction,http://www.imdb.com/title/tt0110912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=152NZEF9BHZHPX6W9DQH&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_8,(1994)
"[u' Clint Eastwood', u' Eli Wallach']",Sergio Leone (dir.),"2h 41min
",8.8,"Il buono, il brutto, il cattivo",http://www.imdb.com/title/tt0060196/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=152NZEF9BHZHPX6W9DQH&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_9,(1966)
"[u' Brad Pitt', u' Edward Norton']",David Fincher (dir.),"2h 19min
",8.8,Fight Club,http://www.imdb.com/title/tt0137523/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=152NZEF9BHZHPX6W9DQH&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_10,(1999)
